Codigo,Categoria,Prompt
Prompt 001,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito analizar mis servicios actuales y detectar cuáles deberían ser mis tratamientos estrella. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 002,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una propuesta de valor clara para mi centro de estética en {ciudad}. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 003,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito definir el perfil de clienta ideal para tratamientos faciales, corporales y bienestar. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 004,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito identificar los principales huecos de mi agenda y proponer acciones para llenarlos. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 005,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear un mapa de campañas para los próximos 30 días. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 006,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito diferenciar mi centro de competidores que compiten solo por precio. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 007,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una política simple de reservas, cambios y cancelaciones. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 008,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito diseñar una experiencia post-tratamiento para aumentar recompra. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 009,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito preparar una oferta de entrada rentable para nuevas clientas. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 010,Estrategia y diagnóstico,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito convertir servicios sueltos en planes de seguimiento. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 011,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear 10 ideas de Reels para vender tratamientos faciales sin sonar agresiva. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 012,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito escribir un carrusel educativo sobre errores comunes en el cuidado de la piel. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 013,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito generar hooks de 3 segundos para videos de estética. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 014,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear captions para antes/después sin prometer resultados garantizados. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 015,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito preparar una semana de Stories para vender una promoción. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 016,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito escribir un post de prueba social usando testimonios reales. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 017,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear ideas de contenido para mostrar higiene, cabina y profesionalidad. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 018,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito hacer un calendario de contenidos para publicar de lunes a domingo. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 019,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito convertir una duda frecuente en Reel corto. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 020,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una llamada a la acción para reservar por WhatsApp. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 021,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito redactar 5 versiones de un anuncio para Meta Ads a WhatsApp. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 022,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear contenido para clientas que tienen miedo de probar un tratamiento. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 023,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito escribir posts para promover bonos de 3 y 5 sesiones. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 024,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear ideas de contenido para fechas comerciales locales. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 025,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito hacer un guion para un video de 15 segundos sobre agenda llena. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 026,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear 10 titulares para una limpieza facial premium. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 027,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito escribir Stories interactivas con encuestas y preguntas. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 028,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito convertir una reseña positiva en contenido de redes. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 029,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear contenido para reactivar clientas dormidas. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 030,"Instagram, TikTok y Facebook","Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito hacer un post comparando sesión suelta vs plan de cuidado. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 031,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una respuesta inicial para una clienta que pregunta precio. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 032,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito diseñar un flujo de WhatsApp para pasar de consulta a reserva. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 033,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito responder a una objeción de precio sin bajar el valor. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 034,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear un mensaje de confirmación de cita. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 035,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear recordatorios 48 h y 24 h antes de la cita. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 036,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito redactar un mensaje amable para reprogramar una cita. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 037,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear un mensaje post-tratamiento con cuidados posteriores. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 038,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito pedir una reseña sin sonar insistente. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 039,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito recuperar una clienta que no volvió en 60 días. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 040,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear un mensaje para vender un bono después de la primera sesión. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 041,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito diseñar respuestas rápidas para preguntas frecuentes. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 042,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear un mensaje para no-shows. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 043,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear un texto para explicar política de seña. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
Prompt 044,WhatsApp y atención al cliente,"Actúa como consultor experto en marketing para centros de estética en Latinoamérica. Necesito crear una campaña de referidos por WhatsApp. Mi centro está en {ciudad}, atiende a {tipo_de_clienta}, ofrece {tratamientos}, tiene precios promedio de {ticket_medio} y quiero lograr {objetivo}. Entrégame una propuesta práctica con: idea principal, texto listo para usar, pasos de ejecución, CTA por WhatsApp y una advertencia para no prometer resultados irreales."
